                                          The SAS System      19:44 Friday, September 20, 2019   1

            Obs    x31    x32    x33     i     j      pdf3      x21    x22      pdf2

              1     -2     -2     -2    -2    -2    0.012520     -2     -2    0.02875
              2     -2     -2     -1    -2    -2    0.015016     -2     -2    0.02875
              3     -2     -2      0    -2    -2    0.000683     -2     -2    0.02875
              4     -2     -2      1    -2    -2    0.000001     -2     -2    0.02875
              5     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
              6     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
              7     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
              8     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
              9     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             10     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             11     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             12     -2     -2      1    -2    -2    0.000001     -2     -2    0.02875
             13     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             14     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             15     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             16     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             17     -2     -2      1    -2    -2    0.000001     -2     -2    0.02875
             18     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             19     -2     -2      .    -2    -2    0.028746     -2     -2    0.02875
             20     -2     -2      1    -2    -2    0.000001     -2     -2    0.02875
             21     -2     -2      2    -2    -2    0.000000     -2     -2    0.02875
             22     -2     -1      .    -2    -1    0.021774     -2     -1    0.02177
             23     -2     -1      1    -2    -1    0.000857     -2     -1    0.02177
             24     -2     -1      2    -2    -1    0.000002     -2     -1    0.02177
             25     -2      0      .    -2     0    0.001025     -2      0    0.00103
             26     -2      0      1    -2     0    0.000683     -2      0    0.00103
             27     -2      0      .    -2     0    0.001025     -2      0    0.00103
             28     -2      0      1    -2     0    0.000683     -2      0    0.00103
             29     -2      0      2    -2     0    0.000064     -2      0    0.00103
             30     -2      1     -2    -2     1    0.000000     -2      1    0.00000
             31     -2      1      .    -2     1    0.000003     -2      1    0.00000
             32     -2      1      .    -2     1    0.000003     -2      1    0.00000
             33     -2      1      1    -2     1    0.000001     -2      1    0.00000
             34     -2      1      .    -2     1    0.000003     -2      1    0.00000
             35     -2      1      1    -2     1    0.000001     -2      1    0.00000
             36     -2      1      .    -2     1    0.000003     -2      1    0.00000
             37     -2      1      .    -2     1    0.000003     -2      1    0.00000
             38     -2      1      .    -2     1    0.000003     -2      1    0.00000
             39     -2      1      .    -2     1    0.000003     -2      1    0.00000
             40     -2      1      .    -2     1    0.000003     -2      1    0.00000
             41     -2      1      1    -2     1    0.000001     -2      1    0.00000
             42     -2      1      2    -2     1    0.000002     -2      1    0.00000
             43     -2      2     -2    -2     2    0.000000     -2      2    0.00000
             44     -2      2     -1    -2     2    0.000000     -2      2    0.00000
             45     -2      2      0    -2     2    0.000000     -2      2    0.00000
             46     -2      2      1    -2     2    0.000000     -2      2    0.00000
             47     -2      2      2    -2     2    0.000000     -2      2    0.00000
             48     -1     -2      .    -1    -2    0.021774     -1     -2    0.02177
             49     -1     -2      1    -1    -2    0.000000     -1     -2    0.02177
             50     -1     -2      2    -1    -2    0.000000     -1     -2    0.02177
             51     -1     -1     -2    -1    -1    0.007594     -1     -1    0.15219
                                          The SAS System      19:44 Friday, September 20, 2019   2

             Obs    x31    x32    x33     i     j      pdf3     x21    x22      pdf2

              52     -1     -1      .    -1    -1    0.15219     -1     -1    0.15219
              53     -1     -1      .    -1    -1    0.15219     -1     -1    0.15219
              54     -1     -1      .    -1    -1    0.15219     -1     -1    0.15219
              55     -1     -1      1    -1    -1    0.00086     -1     -1    0.15219
              56     -1     -1      2    -1    -1    0.00000     -1     -1    0.15219
              57     -1      0      .    -1     0    0.06614     -1      0    0.06614
              58     -1      0      1    -1     0    0.02591     -1      0    0.06614
              59     -1      0      2    -1     0    0.00068     -1      0    0.06614
              60     -1      1      .    -1     1    0.00179     -1      1    0.00179
              61     -1      1      1    -1     1    0.00086     -1      1    0.00179
              62     -1      1      .    -1     1    0.00179     -1      1    0.00179
